Nicholls,292,UT Rio Grande Valley,2447
2:53,2447,Foul on Legend Robertin.,105,101
2:53,292,Mike Hoffman made Free Throw.,105,102
2:53,292,Mike Hoffman made Free Throw.,105,103
2:46,2447,Roddy Peters Turnover.,105,103
2:33,2447,Foul on Roddy Peters.,105,103
2:33,292,Lew Stallworth missed Free Throw.,105,103
2:33,292,UT Rio Grande Valley Deadball Team Rebound.,105,103
2:33,292,Lew Stallworth made Free Throw.,105,104
2:13,2447,Tevon Saddler missed Jumper.,105,104
2:13,292,Xavier McDaniel Jr. Defensive Rebound.,105,104
1:57,292,Nick Dixon missed Three Point Jumper.,105,104
1:57,2447,Lafayette Rutledge Defensive Rebound.,105,104
1:46,2447,Kevin Johnson missed Jumper.,105,104
1:46,292,Xavier McDaniel Jr. Defensive Rebound.,105,104
1:36,2447,Foul on Legend Robertin.,105,104
1:36,292,Nick Dixon missed Free Throw.,105,104
1:36,292,UT Rio Grande Valley Deadball Team Rebound.,105,104
1:36,292,Nick Dixon missed Free Throw.,105,104
1:36,2447,Tevon Saddler Defensive Rebound.,105,104
1:24,2447,Lafayette Rutledge Turnover.,105,104
1:22,292,Nick Dixon Steal.,105,104
1:20,292,Nick Dixon Turnover.,105,104
1:18,2447,Kevin Johnson Steal.,105,104
1:15,2447,Jahvaughn Powell made Three Point Jumper. Assisted by Tevon Saddler.,108,104
0:53,292,Greg Bowie missed Layup.,108,104
0:53,2447,Tevon Saddler Defensive Rebound.,108,104
0:37,292,Foul on Nick Dixon.,108,104
0:37,2447,Kevin Johnson made Free Throw.,109,104
0:37,2447,Kevin Johnson missed Free Throw.,109,104
0:37,292,Xavier McDaniel Jr. Defensive Rebound.,109,104
0:30,292,Lew Stallworth missed Three Point Jumper.,109,104
0:30,292,Xavier McDaniel Jr. Offensive Rebound.,109,104
0:21,292,Nick Dixon made Layup. Assisted by Xavier McDaniel Jr..,109,106
0:20,292,UT Rio Grande Valley  Timeout,109,106
0:17,292,Foul on Greg Bowie.,109,106
0:17,2447,Tevon Saddler made Free Throw.,110,106
0:17,2447,Tevon Saddler made Free Throw.,111,106
0:08,292,Xavier McDaniel Jr. missed Three Point Jumper.,111,106
0:08,2447,Lafayette Rutledge Defensive Rebound.,111,106
0:00,292,End of Game,111,106
