Lipscomb,2132,Cincinnati,288
2:14,288,Nathan Moran made Three Point Jumper. Assisted by Kenny Cooper.,64,88
1:58,288,Foul on Nathan Moran.,64,88
1:58,2132,Kevin Johnson missed Free Throw.,64,88
1:58,2132,Cincinnati Deadball Team Rebound.,64,88
1:58,2132,Kevin Johnson made Free Throw.,64,89
1:51,288,Garrison Mathews missed Layup.,64,89
1:51,2132,Quadri Moore Block.,64,89
1:49,2132,Quadri Moore Defensive Rebound.,64,89
1:39,2132,Quadri Moore missed Jumper.,64,89
1:39,288,Garrison Mathews Defensive Rebound.,64,89
1:33,288,Josh Williams missed Three Point Jumper.,64,89
1:33,2132,Quadri Moore Defensive Rebound.,64,89
1:04,2132,Quadri Moore missed Jumper.,64,89
1:04,288,Rob Marberry Block.,64,89
1:03,288,Nathan Moran Defensive Rebound.,64,89
0:59,288,Rob Marberry made Layup. Assisted by Nathan Moran.,66,89
0:49,2132,Justin Jenifer Turnover.,66,89
0:42,288,Garrison Mathews missed Jumper.,66,89
0:42,288,Garrison Mathews Offensive Rebound.,66,89
0:40,288,Garrison Mathews made Two Point Tip Shot.,68,89
0:31,2132,Justin Jenifer made Layup.,68,91
0:25,288,Nathan Moran Turnover.,68,91
0:24,2132,Jarron Cumberland Steal.,68,91
0:21,2132,Jarron Cumberland Turnover.,68,91
0:17,288,Rob Marberry Steal.,68,91
0:15,288,Kenny Cooper missed Three Point Jumper.,68,91
0:15,288,Josh Williams Offensive Rebound.,68,91
0:11,288,Garrison Mathews missed Three Point Jumper.,68,91
0:11,288,Rob Marberry Offensive Rebound.,68,91
0:03,288,Josh Williams missed Jumper.,68,91
0:03,2132,Jarron Cumberland Defensive Rebound.,68,91
0:00,2132,End of Game,68,91
