The Citadel,259,Virginia Tech,2643
6:09,259,Ahmed Hill missed Layup.,86,115
6:09,2643,The Citadel Defensive Rebound.,86,115
5:53,2643,Preston Parks missed Jumper.,86,115
5:53,259,Ahmed Hill Defensive Rebound.,86,115
5:37,259,missed Layup.,86,115
5:37,259,Offensive Rebound.,86,115
5:31,259,Chris Clarke made Layup.,86,117
5:15,2643,Kaiden Rice missed Three Point Jumper.,86,117
5:15,259,Defensive Rebound.,86,117
4:54,259,Chris Clarke made Layup.,86,119
4:44,2643,Kaiden Rice missed Layup.,86,119
4:44,259,Chris Clarke Defensive Rebound.,86,119
4:39,259,Nickeil Alexander-Walker made Layup. Assisted by Justin Robinson.,86,121
4:23,259,Foul on  .,86,121
4:23,2643,Rob Johnson missed Free Throw.,86,121
4:23,259,Defensive Rebound.,86,121
4:10,259,Justin Robinson made Three Point Jumper.,86,124
3:55,2643,Frankie Johnson missed Jumper.,86,124
3:55,259,Chris Clarke Defensive Rebound.,86,124
3:48,259,Official TV Timeout,86,124
3:48,2643,Foul on Rob Johnson.,86,124
3:48,2643,Technical Foul on Rob Johnson.,86,124
3:48,2643,Foul on Rob Johnson.,86,124
3:48,259,Technical Foul on Chris Clarke.,86,124
3:48,259,Foul on Chris Clarke.,86,124
3:48,259,Chris Clarke made Free Throw.,86,125
3:48,259,Chris Clarke made Free Throw.,86,126
3:33,259,Foul on Ahmed Hill.,86,126
3:33,2643,Tariq Simmons missed Free Throw.,86,126
3:33,2643,The Citadel Deadball Team Rebound.,86,126
3:33,2643,Tariq Simmons missed Free Throw.,86,126
3:33,259,Chris Clarke Defensive Rebound.,86,126
3:29,259,Wabissa Bede Turnover.,86,126
3:21,2643,Frankie Johnson missed Jumper.,86,126
3:21,2643,Derek Webster Jr. Offensive Rebound.,86,126
3:17,2643,Derek Webster Jr. missed Jumper.,86,126
3:17,259,Chris Clarke Defensive Rebound.,86,126
3:15,259,Chris Clarke missed Free Throw.,86,126
3:15,2643,Foul on Alex Reed.,86,126
3:15,259,Virginia Tech Deadball Team Rebound.,86,126
3:15,259,Chris Clarke missed Free Throw.,86,126
3:15,2643,Frankie Johnson Defensive Rebound.,86,126
3:09,259,Foul on Tyrie Jackson.,86,126
3:09,2643,Tariq Simmons made Free Throw.,87,126
3:09,2643,Tariq Simmons made Free Throw.,88,126
2:55,259,Tyrie Jackson missed Three Point Jumper.,88,126
2:55,2643,Frankie Johnson Defensive Rebound.,88,126
2:47,2643,Alex Reed missed Three Point Jumper.,88,126
2:47,259,Virginia Tech Deadball Team Rebound.,88,126
2:46,2643,Foul on Derek Webster Jr..,88,126
2:46,259,Tyrie Jackson made Free Throw.,88,127
2:46,259,Tyrie Jackson made Free Throw.,88,128
2:31,2643,Quayson Williams Turnover.,88,128
2:02,259,P.J. Horne Turnover.,88,128
2:00,2643,Quayson Williams Steal.,88,128
1:56,259,Foul on Devin Wilson.,88,128
1:56,2643,Preston Parks made Free Throw.,89,128
1:56,2643,Preston Parks made Free Throw.,90,128
1:32,259,Tyrie Jackson Turnover.,90,128
1:30,2643,Quayson Williams Steal.,90,128
1:27,2643,Leandro Allende made Three Point Jumper. Assisted by Preston Parks.,93,128
1:10,259,Wabissa Bede missed Jumper.,93,128
1:10,259,Wabissa Bede Offensive Rebound.,93,128
0:43,259,Devin Wilson missed Layup.,93,128
0:43,259,P.J. Horne Offensive Rebound.,93,128
