Jackson State,2433,UL Monroe,2296
0:46,2296,Paris Collins missed Jumper.,51,61
0:46,2433,Marvin Jean-Pierre Defensive Rebound.,51,61
0:39,2433,Sam McDaniel made Dunk. Assisted by Jordon Harris.,51,63
0:27,2433,Foul on Michael Ertel.,51,63
0:27,2296,Paris Collins made Free Throw.,52,63
0:27,2296,Paris Collins missed Free Throw.,52,63
0:27,2433,Travis Munnings Defensive Rebound.,52,63
0:24,2296,Foul on Darius Austin.,52,63
0:24,2433,Sam McDaniel made Free Throw.,52,64
0:24,2433,Sam McDaniel made Free Throw.,52,65
0:17,2296,Darius Austin missed Three Point Jumper.,52,65
0:17,2433,Sam McDaniel Defensive Rebound.,52,65
0:00,2433,End of Game,52,65
